iter	Passed	Remaining
794	1502	387
795	1504	385
796	1506	383
797	1507	381
798	1509	379
799	1511	377
800	1513	376
801	1515	374
802	1517	372
803	1519	370
804	1521	368
805	1523	366
806	1524	364
807	1526	362
808	1528	360
809	1530	359
810	1532	357
811	1533	355
812	1534	353
813	1536	351
814	1537	349
815	1538	347
816	1540	345
817	1542	343
818	1544	341
819	1546	339
820	1547	337
821	1548	335
822	1550	333
823	1551	331
824	1552	329
825	1553	327
826	1555	325
827	1557	323
828	1559	321
829	1561	319
830	1563	318
831	1565	316
832	1567	314
833	1569	312
834	1572	310
835	1574	308
836	1576	307
837	1578	305
838	1579	303
839	1581	301
840	1582	299
841	1584	297
842	1587	295
843	1588	293
844	1590	291
845	1592	289
846	1594	287
847	1595	285
848	1596	283
849	1598	282
850	1600	280
851	1602	278
852	1604	276
853	1606	274
854	1608	272
855	1609	270
856	1611	268
857	1612	266
858	1615	265
859	1617	263
860	1620	261
861	1621	259
862	1623	257
863	1625	255
864	1626	253
865	1628	251
866	1630	250
867	1631	248
868	1635	246
869	1637	244
870	1639	242
871	1640	240
872	1642	238
873	1644	237
874	1645	235
875	1647	233
876	1650	231
877	1652	229
878	1653	227
879	1655	225
880	1656	223
881	1659	221
882	1661	220
883	1663	218
884	1664	216
885	1666	214
886	1667	212
887	1669	210
888	1670	208
889	1672	206
890	1675	204
891	1676	203
892	1678	201
893	1680	199
894	1681	197
895	1683	195
896	1685	193
897	1686	191
898	1688	189
899	1690	187
900	1692	185
901	1694	184
902	1695	182
903	1697	180
904	1699	178
905	1700	176
906	1702	174
907	1704	172
908	1706	170
909	1708	168
910	1710	167
911	1711	165
912	1713	163
913	1714	161
914	1716	159
915	1718	157
916	1720	155
917	1723	153
918	1724	151
919	1726	150
920	1727	148
921	1728	146
922	1730	144
923	1731	142
924	1733	140
925	1735	138
926	1738	136
927	1739	134
928	1741	133
929	1742	131
930	1744	129
931	1746	127
932	1748	125
933	1751	123
934	1753	121
935	1755	120
936	1756	118
937	1758	116
938	1759	114
939	1761	112
940	1763	110
941	1766	108
942	1768	106
943	1770	105
944	1773	103
945	1775	101
946	1779	99
947	1782	97
948	1785	95
949	1786	94
950	1788	92
951	1789	90
952	1792	88
953	1795	86
954	1797	84
955	1800	82
956	1802	80
957	1804	79
958	1806	77
959	1809	75
960	1811	73
961	1815	71
962	1818	69
963	1820	67
964	1824	66
965	1826	64
966	1831	62
967	1837	60
968	1839	58
969	1841	56
970	1844	55
971	1846	53
972	1849	51
973	1851	49
974	1853	47
975	1856	45
976	1858	43
977	1860	41
978	1861	39
979	1862	38
980	1865	36
981	1869	34
982	1872	32
983	1874	30
984	1876	28
985	1877	26
986	1879	24
987	1882	22
988	1886	20
989	1889	19
990	1891	17
991	1893	15
992	1896	13
993	1899	11
994	1901	9
995	1903	7
996	1907	5
997	1909	3
998	1913	1
999	1915	0
